tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;moonphase;weathercondition
23.9;10.1;17.8;23.9;10.1;17.8;10.3;63.9;0.0;0.0;0.0;;;;;40.7;286.3;1013.0;52.6;13.5;;;;;0.47;partly-cloudy-day
23.4;8.9;16.6;23.4;8.9;16.6;8.8;63.5;0.0;0.0;0.0;;;;;22.0;292.6;1012.4;33.6;12.5;;;;;0.5;partly-cloudy-day
24.3;12.1;17.6;24.3;12.1;17.6;10.2;64.7;0.0;0.0;0.0;;;;;24.7;24.9;1011.4;49.9;12.7;;;;;0.54;partly-cloudy-day
24.3;12.9;18.2;24.3;12.9;18.2;9.6;59.5;0.229;100.0;4.17;rain;;;;31.0;18.9;1012.5;47.1;12.8;;;;;0.57;rain
22.9;11.1;17.4;22.9;11.1;17.4;8.9;59.8;0.0;0.0;0.0;;;;;26.0;24.9;1012.5;50.5;13.2;;;;;0.6;partly-cloudy-day
25.1;9.1;18.2;25.1;9.1;18.2;9.5;58.3;0.0;0.0;0.0;;;;;14.9;20.9;1012.5;52.7;12.0;;;;;0.64;partly-cloudy-day
27.0;9.1;18.4;26.5;9.1;18.3;7.6;55.4;0.0;0.0;0.0;;;;;8.3;296.0;1013.5;6.1;12.7;;;;;0.67;clear-day
29.9;8.2;19.2;28.2;8.2;18.9;6.8;50.4;0.0;0.0;0.0;;;;;22.4;260.1;1014.7;0.0;12.3;;;;;0.7;clear-day
29.7;11.1;21.4;28.6;11.1;21.2;11.3;55.9;0.0;0.0;0.0;;;;;33.5;272.7;1014.9;28.9;12.7;;;;;0.75;partly-cloudy-day
27.1;14.5;20.6;26.6;14.5;20.5;11.3;58.9;0.0;0.0;0.0;;;;;23.4;306.2;1011.9;45.1;13.3;;;;;0.77;partly-cloudy-day
26.9;10.1;19.3;26.3;10.1;19.3;9.5;57.6;0.0;0.0;0.0;;;;;47.9;299.4;1009.0;41.4;12.5;;;;;0.8;partly-cloudy-day
24.5;11.1;18.2;24.5;11.1;18.2;8.9;59.4;0.727;100.0;4.17;rain;;;;18.4;293.1;1012.0;34.4;13.2;;;;;0.83;rain
28.1;9.0;18.0;30.2;9.0;18.1;8.9;60.1;0.0;0.0;0.0;;;;;22.3;288.1;1014.2;26.9;13.2;;;;;0.87;partly-cloudy-day
26.9;9.7;19.3;26.6;9.7;19.2;7.5;49.0;0.0;0.0;0.0;;;;;19.5;312.7;1014.6;35.7;12.4;;;;;0.9;partly-cloudy-day
29.9;8.1;20.6;28.5;8.1;20.3;9.9;55.1;0.0;0.0;0.0;;;;;18.4;333.5;1011.2;17.7;12.3;;;;;0.93;clear-day
29.3;16.7;22.6;28.1;16.7;22.4;12.0;54.0;0.244;100.0;4.17;rain;;;;16.9;342.7;1008.8;37.2;13.5;;;;;0.96;rain
29.3;10.1;20.3;28.8;10.1;20.2;10.8;56.6;0.0;0.0;0.0;;;;;40.1;283.0;1004.0;40.6;11.9;;;;;0.0;partly-cloudy-day
18.6;10.1;14.2;18.6;10.1;14.2;4.3;52.7;0.0;0.0;0.0;;;;;33.5;280.7;1005.8;47.5;13.2;;;;;0.03;partly-cloudy-day
17.5;9.1;13.4;17.5;6.8;13.2;4.9;56.7;0.0;0.0;0.0;;;;;34.8;274.1;1010.1;53.1;12.4;;;;;0.07;partly-cloudy-day
28.0;4.1;16.8;26.9;4.1;16.7;6.3;56.2;0.0;0.0;0.0;;;;;18.4;288.7;1009.0;22.7;12.2;;;;;0.1;partly-cloudy-day
25.1;12.5;19.3;25.1;12.5;19.3;8.7;51.7;0.0;0.0;0.0;;;;;34.4;289.3;1007.6;39.8;13.1;;;;;0.14;partly-cloudy-day
26.7;6.1;17.4;26.5;6.1;17.4;7.5;55.4;0.0;0.0;0.0;;;;;11.2;284.2;1012.1;6.8;12.6;;;;;0.17;clear-day
29.2;10.0;20.6;27.8;10.0;20.2;7.3;46.5;0.0;0.0;0.0;;;;;26.9;255.9;1007.4;19.5;12.8;;;;;0.21;clear-day
22.6;14.1;18.1;22.6;14.1;18.1;9.7;59.0;0.0;0.0;0.0;;;;;32.7;261.7;1008.0;48.3;13.2;;;;;0.25;partly-cloudy-day
23.3;8.1;16.4;23.3;6.8;16.3;7.4;57.2;0.0;0.0;0.0;;;;;33.5;275.8;1015.4;45.5;12.9;;;;;0.28;partly-cloudy-day
25.7;5.1;17.3;25.7;5.1;17.3;7.3;55.1;0.0;0.0;0.0;;;;;21.7;7.3;1017.9;27.6;12.1;;;;;0.32;partly-cloudy-day
27.2;8.1;18.8;26.7;8.1;18.7;8.4;54.7;0.0;0.0;0.0;;;;;11.2;63.1;1015.3;9.8;13.1;;;;;0.35;clear-day
29.4;9.1;20.1;28.1;8.6;19.8;9.2;53.2;0.0;0.0;0.0;;;;;37.1;333.4;1011.8;38.1;12.9;;;;;0.39;partly-cloudy-day
25.9;11.8;20.0;25.9;11.8;20.0;9.4;51.7;0.0;0.0;0.0;;;;;24.1;30.2;1015.1;25.1;12.9;;;;;0.42;partly-cloudy-day
25.9;13.1;19.7;25.9;13.1;19.7;9.2;53.1;0.0;0.0;0.0;;;;;25.9;11.4;1014.8;34.5;13.0;;;;;0.46;partly-cloudy-day
28.9;10.3;19.6;27.7;10.3;19.5;8.1;50.9;0.0;0.0;0.0;;;;;18.6;45.1;1013.2;19.8;12.7;;;;;0.5;clear-day
29.9;11.4;22.1;28.9;11.4;21.8;9.4;46.7;0.0;0.0;0.0;;;;;32.1;304.3;1010.6;34.4;13.2;;;;;0.53;partly-cloudy-day
19.1;12.6;15.5;19.1;12.6;15.5;9.0;66.9;1.43;100.0;8.33;rain;;;;37.1;326.8;1012.4;72.2;13.0;;;;;0.56;rain
19.2;4.9;12.9;19.2;4.9;12.8;5.2;62.0;0.0;0.0;0.0;;;;;22.3;283.7;1016.4;45.0;12.9;;;;;0.59;partly-cloudy-day
24.6;5.1;15.6;24.6;5.1;15.6;5.0;54.9;0.0;0.0;0.0;;;;;24.1;280.8;1014.5;12.4;12.2;;;;;0.62;clear-day
27.7;9.0;18.5;26.7;7.3;18.3;6.9;51.7;0.0;0.0;0.0;;;;;19.0;336.4;1013.3;29.4;12.6;;;;;0.66;partly-cloudy-day
23.6;13.8;18.2;23.6;13.8;18.2;11.2;65.6;0.076;100.0;4.17;rain;;;;33.5;10.1;1014.0;65.4;12.7;;;;;0.69;rain
24.5;9.1;17.7;24.5;9.1;17.7;9.3;62.5;0.0;0.0;0.0;;;;;11.8;303.2;1015.3;27.3;12.2;;;;;0.72;partly-cloudy-day
28.4;9.5;19.5;27.2;9.5;19.3;6.9;50.4;0.0;0.0;0.0;;;;;13.5;300.1;1014.2;12.2;12.7;;;;;0.75;clear-day
30.0;10.8;21.6;28.5;10.8;21.2;7.7;44.0;0.0;0.0;0.0;;;;;19.7;341.8;1014.3;5.9;12.4;;;;;0.79;clear-day
30.8;12.1;22.1;29.5;12.1;21.8;9.6;48.0;0.0;0.0;0.0;;;;;32.7;342.3;1013.3;16.5;12.5;;;;;0.82;clear-day
26.5;13.9;20.4;26.5;13.9;20.4;10.3;53.7;0.0;0.0;0.0;;;;;26.9;46.5;1014.8;9.9;13.6;;;;;0.85;clear-day
25.9;12.1;19.2;25.9;12.1;19.2;7.9;51.1;0.0;0.0;0.0;;;;;27.7;56.0;1015.3;4.2;12.6;;;;;0.88;clear-day
25.8;11.1;19.7;25.8;11.1;19.7;7.3;46.8;0.0;0.0;0.0;;;;;28.9;59.2;1016.0;5.3;12.8;;;;;0.92;clear-day
26.2;11.1;19.8;26.2;11.1;19.8;8.6;49.9;0.0;0.0;0.0;;;;;25.9;45.9;1015.4;30.4;13.0;;;;;0.95;partly-cloudy-day
25.9;13.3;19.9;25.9;13.3;19.9;9.9;54.0;0.0;0.0;0.0;;;;;37.4;341.6;1013.7;37.3;12.7;;;;;0.98;partly-cloudy-day
25.6;13.7;19.2;25.6;13.7;19.2;8.5;51.7;0.0;0.0;0.0;;;;;35.3;355.4;1012.8;45.0;13.1;;;;;0.0;partly-cloudy-day
25.7;12.0;18.7;25.7;12.0;18.7;8.0;51.8;0.0;0.0;0.0;;;;;31.7;11.7;1011.3;6.0;12.7;;;;;0.05;clear-day
